Tid;Vannstand(m)
2016-12-26 17:00;     1,500
2016-12-26 18:00;     1,505
2016-12-26 19:00;     1,501
2016-12-26 20:00;     1,507
2016-12-26 21:00;     1,510
2016-12-26 22:00;     1,514
2016-12-26 23:00;     1,511
2016-12-27 00:00;     1,518
2016-12-27 01:00;     1,514
2016-12-27 02:00;     1,518
2016-12-27 03:00;     1,518
2016-12-27 04:00;     1,516
2016-12-27 05:00;     1,514
2016-12-27 06:00;     1,513
2016-12-27 07:00;     1,512
2016-12-27 08:00;     1,511
2016-12-27 09:00;     1,508
2016-12-27 10:00;     1,505
2016-12-27 11:00;     1,504
2016-12-27 12:00;     1,502
2016-12-27 13:00;     1,500
2016-12-27 14:00;     1,498
2016-12-27 15:00;     1,495
2016-12-27 16:00;     1,496
2016-12-27 17:00;     1,494
2016-12-27 18:00;     1,493
2016-12-27 19:00;     1,491
2016-12-27 20:00;     1,490
2016-12-27 21:00;     1,488
2016-12-27 22:00;     1,484
2016-12-27 23:00;     1,484
2016-12-28 00:00;     1,480
2016-12-28 01:00;     1,476
2016-12-28 02:00;     1,478
2016-12-28 03:00;     1,475
2016-12-28 04:00;     1,471
2016-12-28 05:00;     1,468
2016-12-28 06:00;     1,467
2016-12-28 07:00;     1,464
2016-12-28 08:00;     1,462
2016-12-28 09:00;     1,461
2016-12-28 10:00;     1,458
2016-12-28 11:00;     1,457
2016-12-28 12:00;     1,455
2016-12-28 13:00;     1,451
2016-12-28 14:00;     1,451
2016-12-28 15:00;     1,447
2016-12-28 16:00;     1,446
2016-12-28 17:00;     1,445
2016-12-28 18:00;     1,439
2016-12-28 19:00;     1,439
2016-12-28 20:00;     1,436
2016-12-28 21:00;     1,437
2016-12-28 22:00;     1,434
2016-12-28 23:00;     1,430
2016-12-29 00:00;     1,430
2016-12-29 01:00;     1,427
2016-12-29 02:00;     1,423
2016-12-29 03:00;     1,420
2016-12-29 04:00;     1,418
2016-12-29 05:00;     1,413
2016-12-29 06:00;     1,415
